Player,Span,Years,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF
S Matsikenyeri (ZIM),2003-2007,4,58,0.06896551724137931,19.844827586206897,21.31,65.99,0.0,0.08620689655172414,0.07568807339449542
IK Pathan (INDIA),2004-2008,4,58,0.1896551724137931,19.844827586206897,24.48,78.78,0.0,0.08620689655172414,0.09582477754962354
Nasir Hossain (BDESH),2011-2015,4,40,0.15,27.525,32.38,80.71,0.025,0.1,0.0813782991202346
DM Bravo (WI),2009-2013,4,44,0.13636363636363635,24.954545454545453,28.89,67.69,0.0,0.1590909090909091,0.06966707768187423
PR Stirling (IRE),2010-2014,4,29,0.0,36.44827586206897,36.44,104.44,0.1724137931034483,0.034482758620689655,0.14723320158102768
DJ Bravo (WI),2004-2007,3,55,0.2545454545454545,18.036363636363635,24.19,79.10,0.01818181818181818,0.03636363636363636,0.07416267942583732
HDRL Thirimanne (SL),2010-2013,3,38,0.10526315789473684,26.05263157894737,29.11,67.71,0.02631578947368421,0.15789473684210525,0.05198358413132695
AA Obanda (KENYA),2008-2011,3,34,0.029411764705882353,27.735294117647058,28.57,73.84,0.0,0.17647058823529413,0.0947533281127643
SC Williams (ZIM),2006-2009,3,36,0.16666666666666666,25.805555555555557,30.96,72.46,0.0,0.2777777777777778,0.059282371294851796
RA Jadeja (INDIA),2009-2012,3,40,0.25,21.5,28.66,78.61,0.0,0.125,0.06672760511882998
BB McCullum (NZ),2002-2005,3,51,0.2549019607843137,16.686274509803923,22.39,71.51,0.0,0.058823529411764705,0.07226890756302522
TWM Latham (NZ),2012-2016,4,34,0.14705882352941177,24.647058823529413,28.89,73.83,0.029411764705882353,0.11764705882352941,0.07753303964757709
CJ Chibhabha (ZIM),2006-2010,4,41,0.0,20.170731707317074,20.17,58.69,0.0,0.14634146341463414,0.048970901348474094
AD Mathews (SL),2008-2011,3,32,0.28125,24.875,34.60,85.13,0.0,0.1875,0.06844919786096257
DR Smith (WI),2004-2007,3,52,0.038461538461538464,14.76923076923077,15.36,101.58,0.0,0.038461538461538464,0.12962962962962962
KOA Powell (WI),2011-2014,3,26,0.0,29.5,29.50,81.85,0.0,0.2692307692307692,0.10885805763073639
Imran Farhat (PAK),2003-2006,3,22,0.045454545454545456,34.54545454545455,36.19,72.58,0.045454545454545456,0.18181818181818182,0.0936007640878701
Mahmudullah (BDESH),2007-2010,3,33,0.3333333333333333,22.90909090909091,34.36,71.93,0.0,0.12121212121212122,0.05708848715509039
Kamran Akmal (PAK),2002-2005,3,28,0.17857142857142858,26.285714285714285,32.00,91.65,0.10714285714285714,0.0,0.1133250311332503
KA Pollard (WI),2008-2011,3,34,0.0,21.058823529411764,21.05,104.22,0.0,0.08823529411764706,0.11353711790393013
H Masakadza (ZIM),2004-2007,3,36,0.05555555555555555,19.333333333333332,20.47,64.44,0.0,0.1388888888888889,0.06018518518518518
MF Maharoof (SL),2004-2008,4,47,0.2553191489361702,14.595744680851064,19.60,84.06,0.0,0.0425531914893617,0.09436274509803921
Mashrafe Mortaza (Asia/BDESH),2004-2007,3,42,0.19047619047619047,15.595238095238095,19.26,98.34,0.0,0.023809523809523808,0.11561561561561562
JP Duminy (SA),2004-2008,4,24,0.2916666666666667,25.75,36.35,73.30,0.0,0.125,0.06168446026097272
D Ramdin (WI),2005-2009,4,43,0.3023255813953488,13.813953488372093,19.80,79.41,0.0,0.046511627906976744,0.07219251336898395
Mominul Haque (BDESH),2012-2015,3,24,0.041666666666666664,22.625,23.60,74.58,0.0,0.125,0.08241758241758242
RR Patel (KENYA),2009-2013,4,26,0.15384615384615385,20.26923076923077,23.95,65.30,0.0,0.07692307692307693,0.07187112763320942
P Utseya (ZIM),2005-2009,4,53,0.32075471698113206,9.679245283018869,14.25,53.21,0.0,0.03773584905660377,0.03734439834024896
TJ Friend (ZIM),2001-2004,3,32,0.0625,15.96875,17.03,78.37,0.0,0.09375,0.09049079754601227
NLTC Perera (SL),2009-2013,4,39,0.1794871794871795,12.974358974358974,15.81,110.48,0.0,0.02564102564102564,0.12008733624454149
Javed Ahmadi (AFG),2012-2015,3,18,0.0,27.166666666666668,27.16,88.42,0.0,0.2777777777777778,0.12296564195298372
BG Rogers (ZIM),2002-2005,3,15,0.0,31.866666666666667,31.86,69.37,0.0,0.3333333333333333,0.0899854862119013
Taufeeq Umar (PAK),2001-2005,4,19,0.05263157894736842,23.526315789473685,24.83,57.45,0.0,0.15789473684210525,0.061696658097686374
Rahmat Shah (AFG),2013-2016,3,13,0.07692307692307693,30.923076923076923,33.50,65.79,0.07692307692307693,0.07692307692307693,0.049099836333878884
DA Miller (SA),2010-2013,3,18,0.2777777777777778,21.27777777777778,29.46,101.05,0.0,0.16666666666666666,0.09762532981530343
SPD Smith (AUS),2010-2013,3,22,0.18181818181818182,17.272727272727273,21.11,86.75,0.0,0.0,0.0684931506849315
Noor Ali Zadran (AFG),2009-2012,3,14,0.07142857142857142,26.5,28.53,70.66,0.07142857142857142,0.07142857142857142,0.06857142857142857
SR Watson (AUS),2002-2005,3,20,0.45,17.05,31.00,68.06,0.0,0.05,0.04590818363273453
SCJ Broad (ENG),2006-2010,4,37,0.3783783783783784,9.135135135135135,14.69,74.12,0.0,0.0,0.05701754385964912
T Mishra (KENYA),2007-2010,3,11,0.18181818181818182,27.818181818181817,34.00,78.86,0.0,0.18181818181818182,0.07216494845360824
BA Stokes (ENG),2011-2014,3,19,0.05263157894736842,14.842105263157896,15.66,75.80,0.0,0.05263157894736842,0.06989247311827956
R Gunasekera (CAN),2011-2014,3,11,0.0,24.363636363636363,24.36,69.25,0.0,0.36363636363636365,0.07751937984496124
Tapash Baisya (BDESH),2003-2006,3,30,0.26666666666666666,8.166666666666666,11.13,57.37,0.0,0.0,0.04918032786885246
NS Poonia (SCOT),2006-2009,3,21,0.0,11.285714285714286,11.28,62.86,0.0,0.047619047619047616,0.08753315649867374
JH Davey (SCOT),2010-2014,4,10,0.1,22.6,25.11,63.12,0.0,0.1,0.061452513966480445
P Kumar (INDIA),2007-2010,3,24,0.2916666666666667,9.375,13.23,85.22,0.0,0.041666666666666664,0.0946969696969697
DLS van Bunge (NL),2003-2006,3,9,0.0,24.11111111111111,24.11,61.47,0.0,0.1111111111111111,0.0679886685552408
TG Southee (NZ),2008-2012,4,31,0.3870967741935484,6.709677419354839,10.94,88.51,0.0,0.0,0.08085106382978724
HS Baidwan (CAN),2008-2011,3,16,0.4375,12.5625,22.33,67.00,0.0,0.0,0.04
CK Coventry (ZIM),2003-2006,3,10,0.0,19.9,19.90,85.77,0.0,0.1,0.11206896551724138
Mohammad Sami (PAK),2001-2004,3,33,0.5454545454545454,5.909090909090909,13.00,61.90,0.0,0.0,0.0380952380952381
WD Parnell (SA),2009-2012,3,13,0.23076923076923078,14.0,18.20,74.89,0.0,0.0,0.06584362139917696
RW Chakabva (ZIM),2008-2011,3,10,0.1,17.6,19.55,59.45,0.0,0.0,0.05405405405405406
KS Lokuarachchi (SL),2003-2006,3,13,0.15384615384615385,13.384615384615385,15.81,78.02,0.0,0.07692307692307693,0.04932735426008968
ML Nkala (ZIM),2001-2005,4,19,0.21052631578947367,9.105263157894736,11.53,58.44,0.0,0.0,0.05067567567567568
Umar Amin (PAK),2010-2013,3,9,0.1111111111111111,19.22222222222222,21.62,77.57,0.0,0.1111111111111111,0.07623318385650224
Usman Limbada (CAN),2010-2013,3,10,0.1,17.0,18.88,68.82,0.0,0.1,0.07692307692307693
CS MacLeod (SCOT),2009-2012,3,7,0.14285714285714285,24.142857142857142,28.16,72.53,0.0,0.14285714285714285,0.06437768240343347
Gulbadin Naib (AFG),2011-2015,4,12,0.16666666666666666,12.666666666666666,15.20,90.47,0.0,0.0,0.1130952380952381
CS Baugh (WI),2003-2006,3,11,0.45454545454545453,13.272727272727273,24.33,81.56,0.0,0.0,0.09497206703910614
KAJ Roach (WI),2008-2012,4,25,0.52,5.52,11.50,48.59,0.0,0.0,0.04225352112676056
T Mupariwa (ZIM),2006-2009,3,21,0.3333333333333333,6.523809523809524,9.78,52.69,0.0,0.0,0.04230769230769231
AF Milne (NZ),2012-2016,4,12,0.5,10.833333333333334,21.66,98.48,0.0,0.0,0.08333333333333333
MA Starc (AUS),2010-2013,3,7,0.5714285714285714,17.428571428571427,40.66,100.82,0.0,0.14285714285714285,0.11570247933884298
JEC Franklin (NZ),2001-2004,3,16,0.1875,7.25,8.92,55.23,0.0,0.0,0.047619047619047616
Hamza Tariq (CAN),2011-2014,3,7,0.0,16.571428571428573,16.57,73.88,0.0,0.14285714285714285,0.10828025477707007
L Balaji (INDIA),2002-2005,3,15,0.4,7.533333333333333,12.55,79.57,0.0,0.0,0.07042253521126761
GH Dockrell (IRE),2013-2016,3,15,0.5333333333333333,7.533333333333333,16.14,67.26,0.0,0.0,0.047619047619047616
Shafiul Islam (BDESH),2010-2013,3,27,0.2962962962962963,4.037037037037037,5.73,55.89,0.0,0.0,0.06666666666666667
RO Hinds (WI),2001-2004,3,9,0.3333333333333333,11.222222222222221,16.83,59.41,0.0,0.0,0.06470588235294118
RP Singh (INDIA),2006-2009,3,17,0.4117647058823529,5.470588235294118,9.30,40.08,0.0,0.0,0.021551724137931036
PM Seelaar (NL),2007-2011,4,16,0.5,5.6875,11.37,55.15,0.0,0.0,0.06060606060606061
Mirwais Ashraf (AFG),2009-2012,3,8,0.125,10.375,11.85,64.84,0.0,0.0,0.0625
SM Sharif (SCOT),2011-2015,4,8,0.5,10.125,20.25,75.00,0.0,0.0,0.07407407407407407
SL Malinga (SL),2004-2007,3,17,0.47058823529411764,4.117647058823529,7.77,65.42,0.0,0.0,0.04672897196261682
Shahadat Hossain (BDESH),2006-2010,4,21,0.5714285714285714,3.3333333333333335,7.77,55.11,0.0,0.0,0.06299212598425197
JM Anderson (ENG),2002-2006,4,19,0.47368421052631576,3.6315789473684212,6.90,36.50,0.0,0.0,0.021164021164021163
Syed Rasel (BDESH),2005-2008,3,18,0.3333333333333333,3.111111111111111,4.66,40.28,0.0,0.0,0.03597122302158273
Rubel Hossain (BDESH),2010-2013,3,18,0.5555555555555556,2.388888888888889,5.37,56.57,0.0,0.0,0.06578947368421052
MBS Jonkman (NL),2006-2010,4,6,0.3333333333333333,6.833333333333333,10.25,78.84,0.0,0.0,0.09615384615384616
G Goudie (SCOT),2008-2011,3,9,0.3333333333333333,4.444444444444445,6.66,63.49,0.0,0.0,0.06349206349206349
E Otieno (KENYA),2008-2011,3,15,0.4,2.6666666666666665,4.44,33.61,0.0,0.0,0.025210084033613446
JL Pattinson (AUS),2011-2014,3,7,0.42857142857142855,5.714285714285714,10.00,55.55,0.0,0.0,0.027777777777777776
N M'shangwe (ZIM),2011-2014,3,6,0.16666666666666666,6.333333333333333,7.60,84.44,0.0,0.0,0.1111111111111111
Joginder Sharma (INDIA),2004-2007,3,3,0.6666666666666666,11.666666666666666,35.00,116.66,0.0,0.0,0.16666666666666666
I Sharma (INDIA),2008-2011,3,10,0.2,3.4,4.25,33.33,0.0,0.0,0.029411764705882353
Sarfraz Ahmed (PAK),2007-2010,3,3,0.0,10.666666666666666,10.66,54.23,0.0,0.0,0.01694915254237288
KM Jarvis (ZIM),2009-2012,3,10,0.4,2.9,4.83,37.66,0.0,0.0,0.025974025974025976
KMDN Kulasekara (SL),2003-2006,3,8,0.5,2.375,4.75,24.35,0.0,0.0,0.0
DJG Sammy (WI),2004-2007,3,1,1.0,18.0,-,138.46,0.0,0.0,0.07692307692307693
JJC Lawson (WI),2002-2005,3,4,0.5,3.75,7.50,100.00,0.0,0.0,0.13333333333333333
CB Mpofu (ZIM),2006-2009,3,16,0.5,0.875,1.75,21.87,0.0,0.0,0.015625
Nazmul Hossain (BDESH),2008-2011,3,10,0.6,0.5,1.25,13.88,0.0,0.0,0.0
Abul Hasan (BDESH),2012-2015,3,2,0.0,2.0,2.00,44.44,0.0,0.0,0.0
Danish Kaneria (PAK),2001-2004,3,5,0.8,0.8,4.00,28.57,0.0,0.0,0.0
M Zondeki (Afr/SA),2002-2006,4,3,0.6666666666666666,1.3333333333333333,4.00,80.00,0.0,0.0,0.0
CH Gayle (WI),2001-2004,3,82,0.06097560975609756,42.65853658536585,45.42,79.91,0.10975609756097561,0.25609756097560976,0.10783641763765137
M Kaif (INDIA),2002-2005,3,90,0.23333333333333334,27.011111111111113,35.23,73.68,0.022222222222222223,0.15555555555555556,0.06547438617762959
MJ Clarke (AUS),2003-2006,3,71,0.2676056338028169,32.71830985915493,44.67,86.13,0.028169014084507043,0.22535211267605634,0.08379681127178347
Abdul Razzaq (PAK),2001-2004,3,93,0.26881720430107525,24.72043010752688,33.80,86.49,0.021505376344086023,0.10752688172043011,0.08954100827689992
Ahmed Shehzad (PAK),2013-2016,3,56,0.0,36.30357142857143,36.30,74.06,0.07142857142857142,0.23214285714285715,0.08087431693989071
LRPL Taylor (NZ),2006-2009,3,54,0.18518518518518517,32.03703703703704,39.31,83.69,0.05555555555555555,0.18518518518518517,0.09530720851475569
Shahid Afridi (PAK),2001-2005,4,71,0.056338028169014086,22.591549295774648,23.94,120.23,0.014084507042253521,0.14084507042253522,0.17091454272863568
JC Buttler (ENG),2012-2015,3,52,0.1346153846153846,28.21153846153846,32.60,113.89,0.038461538461538464,0.1346153846153846,0.1281055900621118
IR Bell (ENG),2004-2007,3,40,0.075,34.4,37.18,69.31,0.0,0.25,0.06347607052896725
Imrul Kayes (BDESH),2008-2011,3,48,0.020833333333333332,27.395833333333332,27.97,65.16,0.020833333333333332,0.1875,0.07185332011892963
JA Rudolph (Afr/SA),2003-2006,3,39,0.15384615384615385,30.102564102564102,35.57,68.05,0.0,0.1794871794871795,0.06608695652173913
MR Marsh (AUS),2013-2016,3,38,0.18421052631578946,30.342105263157894,37.19,92.38,0.02631578947368421,0.21052631578947367,0.10416666666666667
WTS Porterfield (IRE),2006-2009,3,37,0.08108108108108109,31.08108108108108,33.82,65.86,0.10810810810810811,0.10810810810810811,0.06815578465063
Aftab Ahmed (BDESH),2006-2010,4,43,0.046511627906976744,23.162790697674417,24.29,83.48,0.0,0.16279069767441862,0.10477787091366303
T Taibu (Afr/ZIM),2004-2008,4,37,0.08108108108108109,26.54054054054054,28.88,68.76,0.02702702702702703,0.13513513513513514,0.05952380952380952
KD Karthik (INDIA),2006-2010,4,34,0.20588235294117646,23.764705882352942,29.92,77.09,0.0,0.11764705882352941,0.08587786259541985
Mohammad Shahzad (AFG),2009-2012,3,21,0.047619047619047616,35.38095238095238,37.15,90.06,0.14285714285714285,0.14285714285714285,0.11515151515151516
MW Machan (SCOT),2013-2016,3,22,0.0,33.36363636363637,33.36,77.10,0.045454545454545456,0.13636363636363635,0.07247899159663866
Naeem Islam (BDESH),2008-2011,3,41,0.34146341463414637,16.365853658536587,24.85,64.08,0.0,0.04878048780487805,0.06303724928366762
GC Wilson (IRE),2007-2010,3,24,0.08333333333333333,25.291666666666668,27.59,72.26,0.041666666666666664,0.16666666666666666,0.08452380952380953
MA Ouma (KENYA),2004-2007,3,31,0.03225806451612903,19.387096774193548,20.03,59.74,0.0,0.0967741935483871,0.0705765407554672
JO Holder (WI),2013-2016,3,33,0.2727272727272727,16.21212121212121,22.29,93.69,0.0,0.06060606060606061,0.11208406304728546
Fawad Alam (PAK),2007-2010,3,20,0.4,24.0,40.00,73.05,0.0,0.15,0.0410958904109589
LJ Wright (ENG),2007-2010,3,22,0.09090909090909091,21.227272727272727,23.35,102.41,0.0,0.09090909090909091,0.13157894736842105
Asghar Stanikzai (AFG),2009-2012,3,21,0.14285714285714285,22.095238095238095,25.77,56.44,0.0,0.14285714285714285,0.04866180048661801
G Gambhir (INDIA),2003-2006,3,16,0.0,25.5625,25.56,75.88,0.0625,0.0625,0.11688311688311688
Harbhajan Singh (INDIA),2001-2005,4,44,0.25,9.068181818181818,12.09,78.69,0.0,0.0,0.08678500986193294
RD Berrington (SCOT),2008-2011,3,18,0.05555555555555555,21.5,22.76,81.30,0.0,0.16666666666666666,0.07983193277310924
Alok Kapali (BDESH),2005-2008,3,20,0.05,17.8,18.73,78.24,0.05,0.05,0.07912087912087912
A Bagai (CAN),2003-2007,4,19,0.15789473684210525,18.736842105263158,22.25,55.53,0.0,0.15789473684210525,0.060842433697347896
DL Vettori (NZ),2001-2004,3,44,0.3181818181818182,7.75,11.36,69.73,0.0,0.0,0.05112474437627812
TT Bresnan (ENG),2006-2009,3,14,0.42857142857142855,18.071428571428573,31.62,95.47,0.0,0.07142857142857142,0.11320754716981132
CO Obuya (KENYA),2002-2006,4,17,0.058823529411764705,14.823529411764707,15.75,58.19,0.0,0.0,0.03926096997690531
LMP Simmons (WI),2006-2009,3,14,0.14285714285714285,17.714285714285715,20.66,57.80,0.0,0.14285714285714285,0.06526806526806526
CL White (AUS),2005-2008,3,12,0.3333333333333333,17.083333333333332,25.62,112.63,0.0,0.0,0.10989010989010989
AD Poynter (IRE),2008-2011,3,12,0.25,16.666666666666668,22.22,67.34,0.0,0.16666666666666666,0.06734006734006734
JWA Taylor (ENG),2011-2014,3,6,0.0,32.666666666666664,32.66,73.96,0.0,0.3333333333333333,0.06792452830188679
Abdur Razzak (BDESH),2004-2007,3,29,0.5172413793103449,6.206896551724138,12.85,72.28,0.0,0.0,0.060240963855421686
JE Taylor (WI),2006-2009,3,25,0.28,7.04,9.77,86.69,0.0,0.0,0.09852216748768473
LE Plunkett (ENG),2006-2010,4,17,0.5294117647058824,9.705882352941176,20.62,97.63,0.0,0.0,0.07100591715976332
TC Bastiampillai (CAN),2007-2010,3,11,0.0,14.818181818181818,14.81,63.42,0.0,0.0,0.10505836575875487
B Kumar (INDIA),2012-2015,3,22,0.22727272727272727,7.318181818181818,9.47,80.50,0.0,0.0,0.085
Faisal Iqbal (PAK),2003-2006,3,9,0.0,16.333333333333332,16.33,50.00,0.0,0.0,0.03741496598639456
J Mubarak (SL),2002-2006,4,9,0.0,16.333333333333332,16.33,58.80,0.0,0.1111111111111111,0.068
R Clarke (ENG),2003-2006,3,13,0.0,11.076923076923077,11.07,62.06,0.0,0.0,0.05603448275862069
KD Mills (NZ),2001-2004,3,18,0.3888888888888889,7.222222222222222,11.81,48.68,0.0,0.0,0.03745318352059925
HA Varaiya (KENYA),2006-2009,3,20,0.5,6.5,13.00,47.44,0.0,0.0,0.021897810218978103
Umar Gul (PAK),2006-2009,3,18,0.3888888888888889,6.166666666666667,10.09,70.70,0.0,0.0,0.08280254777070063
RT Lyons (SCOT),2006-2009,3,10,0.7,8.6,28.66,61.42,0.0,0.0,0.05714285714285714
DT Hondo (ZIM),2001-2004,3,22,0.45454545454545453,3.8636363636363638,7.08,44.27,0.0,0.0,0.057291666666666664
CRD Fernando (SL),2001-2004,3,24,0.5416666666666666,3.375,7.36,52.59,0.0,0.0,0.045454545454545456
SO Ngoche (KENYA),2010-2014,4,11,0.2727272727272727,6.181818181818182,8.50,57.62,0.0,0.0,0.0423728813559322
A Nehra (INDIA),2001-2004,3,16,0.625,3.8125,10.16,72.61,0.0,0.0,0.09523809523809523
NM Odhiambo (KENYA),2010-2013,3,5,0.0,11.0,11.00,48.67,0.0,0.0,0.02654867256637168
BV Vitori (ZIM),2011-2014,3,9,0.2222222222222222,6.111111111111111,7.85,91.66,0.0,0.0,0.13333333333333333
Junaid Khan (PAK),2011-2014,3,20,0.5,2.55,5.10,51.00,0.0,0.0,0.04
Hammad Azam (PAK),2012-2015,3,3,0.0,12.666666666666666,12.66,70.37,0.0,0.0,0.07407407407407407
KW Richardson (AUS),2013-2016,3,4,0.5,7.5,15.00,157.89,0.0,0.0,0.21052631578947367
S Sreesanth (INDIA),2005-2008,3,13,0.46153846153846156,2.230769230769231,4.14,34.52,0.0,0.0,0.011904761904761904
DAJ Bracewell (NZ),2011-2015,4,5,0.2,5.4,6.75,56.25,0.0,0.0,0.020833333333333332
EC Rainsford (ZIM),2006-2009,3,16,0.6875,1.6875,5.40,29.34,0.0,0.0,0.0
MMA Jonkman (NL),2007-2010,3,2,0.0,10.0,10.00,39.21,0.0,0.0,0.0392156862745098
Shapoor Zadran (AFG),2009-2012,3,10,0.5,2.0,4.00,40.81,0.0,0.0,0.061224489795918366
FH Edwards (WI),2003-2006,3,8,0.625,2.25,6.00,32.72,0.0,0.0,0.0
AS Luseno (KENYA),2003-2006,3,5,0.8,3.4,17.00,85.00,0.0,0.0,0.1
JE Root (ENG),2013-2016,3,73,0.0958904109589041,41.32876712328767,45.71,85.51,0.1095890410958904,0.2328767123287671,0.07709750566893424
V Sehwag (INDIA),2001-2004,3,98,0.061224489795918366,30.489795918367346,32.47,94.73,0.061224489795918366,0.14285714285714285,0.14552948636651872
MS Dhoni (Asia/INDIA),2004-2007,3,68,0.27941176470588236,33.85294117647059,46.97,98.75,0.04411764705882353,0.19117647058823528,0.11196911196911197
MJ Guptill (NZ),2009-2012,3,63,0.09523809523809523,34.142857142857146,37.73,80.62,0.031746031746031744,0.2698412698412698,0.0944527736131934
MDKJ Perera (SL),2013-2016,3,56,0.05357142857142857,26.839285714285715,28.35,91.59,0.05357142857142857,0.125,0.11761121267519806
RL Powell (WI),2001-2004,3,62,0.22580645161290322,21.080645161290324,27.22,96.74,0.0,0.08064516129032258,0.12065136935603257
RS Bopara (ENG),2007-2011,4,47,0.1702127659574468,23.595744680851062,28.43,71.82,0.0,0.0851063829787234,0.06930051813471502
Nasir Jamshed (PAK),2012-2015,3,36,0.027777777777777776,29.583333333333332,30.42,69.51,0.08333333333333333,0.1111111111111111,0.07441253263707572
C Kieswetter (ENG),2010-2013,3,40,0.125,26.35,30.11,89.93,0.025,0.125,0.11774744027303755
DA Warner (AUS),2009-2012,3,34,0.0,30.88235294117647,30.88,81.83,0.058823529411764705,0.14705882352941177,0.09275136399064692
CJ Anderson (NZ),2013-2016,3,40,0.125,26.175,29.91,111.02,0.025,0.1,0.14316012725344646
KJ O'Brien (IRE),2006-2009,3,31,0.0967741935483871,28.516129032258064,31.57,78.29,0.03225806451612903,0.12903225806451613,0.08148804251550044
JP Faulkner (AUS),2013-2016,3,38,0.42105263157894735,22.973684210526315,39.68,111.77,0.02631578947368421,0.10526315789473684,0.13188220230473752
JDP Oram (NZ),2001-2004,3,50,0.12,15.72,17.86,76.01,0.0,0.06,0.08413926499032882
AN Cook (ENG),2007-2010,3,24,0.0,32.416666666666664,32.41,70.09,0.041666666666666664,0.20833333333333334,0.07387387387387387
AM Rahane (INDIA),2011-2014,3,27,0.0,25.444444444444443,25.44,72.16,0.0,0.18518518518518517,0.07457983193277311
AD Russell (WI),2011-2014,3,28,0.21428571428571427,23.785714285714285,30.27,119.78,0.0,0.10714285714285714,0.16546762589928057
Mohammad Hafeez (PAK),2003-2006,3,35,0.02857142857142857,17.37142857142857,17.88,52.82,0.0,0.08571428571428572,0.06516072980017376
AM Blignaut (ZIM),2001-2004,3,29,0.2413793103448276,16.551724137931036,21.81,111.36,0.0,0.13793103448275862,0.1345707656612529
MJ Prior (ENG),2004-2007,3,22,0.0,21.318181818181817,21.31,72.93,0.0,0.045454545454545456,0.09331259720062209
Imran Nazir (PAK),2004-2007,3,17,0.0,26.11764705882353,26.11,98.88,0.058823529411764705,0.058823529411764705,0.1514476614699332
PL Mommsen (SCOT),2010-2013,3,19,0.10526315789473684,21.473684210526315,24.00,56.04,0.0,0.15789473684210525,0.04945054945054945
Samiullah Shenwari (AFG),2009-2012,3,16,0.125,23.5,26.85,62.98,0.0,0.125,0.06030150753768844
DS Smith (WI),2004-2007,3,14,0.14285714285714285,25.571428571428573,29.83,65.80,0.0,0.07142857142857142,0.07352941176470588
